YDR280W,1253,306,0.01483,0.085,0.90764
YDR284C,1257,290,0.01735,0.105,0.91222
YDR287W,1260,293,0.01508,0.105,0.9135
YDR288W,1261,304,0.01107,0.065,0.91291
YDR313C,1286,287,0.0103,0.055,0.90085
YDR315C,1288,282,0.00986,0.055,0.91531
YDR319C,1292,275,0.01407,0.095,0.91394
YDR336W,1311,315,0.01127,0.065,0.89044
YDR337W,1312,287,0.01481,0.095,0.92078
YDR347W,1322,322,0.0104,0.055,0.89967
YDR352W,1327,318,0.01651,0.095,0.89557
YDR353W,1328,320,0.01798,0.135,0.92799
YDR361C,1336,284,0.02052,0.125,0.91285
YDR372C,1348,346,0.01171,0.075,0.90401
YDR374C,1350,307,0.00803,0.055,0.9184
YDR384C,1362,276,0.02025,0.125,0.9115
YDR400W,1378,341,0.01021,0.065,0.90332
YDR405W,1383,264,0.0147,0.075,0.90387
YDR411C,1389,342,0.01743,0.105,0.88448
YDR428C,1406,262,0.01796,0.095,0.91578
YDR429C,1407,275,0.0169,0.135,0.93608
YDR435C,1413,329,0.01058,0.065,0.89609
YDR439W,1417,348,0.01174,0.065,0.89017
YDR446W,1424,303,0.02108,0.105,0.89774
YDR460W,1438,322,0.01685,0.105,0.89101
YDR472W,1450,284,0.01518,0.085,0.91385
YDR480W,1457,324,0.01333,0.075,0.89436
YDR489W,1466,295,0.01362,0.085,0.91415
YDR492W,1469,317,0.0185,0.115,0.91392
YDR503C,1480,275,0.01382,0.075,0.916
YDR530C,1510,326,0.01895,0.105,0.89057
YDR541C,1521,345,0.00585,0.045,0.90494
YEL005C,1530,283,0.01758,0.095,0.90866
YEL017W,1544,338,0.01409,0.075,0.88628
YEL018W,1546,280,0.02034,0.115,0.90676
YEL019C,1547,268,0.01556,0.105,0.91501
YEL021W,1550,268,0.01715,0.125,0.9313
YEL029C,1558,313,0.01051,0.065,0.90552
YEL051W,1582,257,0.01353,0.115,0.94827
YER011W,1625,255,0.01937,0.225,0.95829
YER016W,1631,345,0.01182,0.075,0.89891
YER023W,1639,287,0.01888,0.125,0.91571
YER026C,1642,277,0.01963,0.125,0.91989
YER037W,1653,322,0.01551,0.095,0.91295
YER053C,1674,301,0.00997,0.065,0.91571
YER055C,1677,298,0.01361,0.085,0.91104
YER062C,1686,251,0.02527,0.235,0.94185
YER076C,1704,303,0.01111,0.065,0.90752
YER099C,1735,319,0.0158,0.085,0.89134
YER100W,1736,251,0.02043,0.145,0.92939
YER106W,1742,303,0.01408,0.085,0.9135
YER116C,1752,275,0.01645,0.085,0.91423
YER126C,1763,262,0.01877,0.155,0.94098
YER142C,1781,297,0.01513,0.095,0.90465
YER153C,1796,255,0.0107,0.055,0.90014
YER156C,1799,339,0.01813,0.115,0.89927
YER161C,1803,334,0.0082,0.055,0.88777
YER175C,1819,300,0.01791,0.105,0.90372
YER177W,1821,268,0.02217,0.175,0.93418
YER179W,1823,335,0.01871,0.105,0.89786
YER180C,1824,268,0.00753,0.045,0.90923
YER185W,1830,304,0.01198,0.075,0.90767
YER186C,1831,307,0.00779,0.045,0.89795
YFL028C,1869,290,0.01722,0.095,0.9075
YFL044C,1885,302,0.01339,0.085,0.91934
YFL045C,1886,255,0.02293,0.255,0.96148
YFL058W,1899,341,0.01409,0.125,0.93405
YFL059W,1900,299,0.01244,0.085,0.92146
YFR004W,1913,307,0.01905,0.135,0.91416
YFR025C,1935,336,0.00886,0.055,0.906
YFR027W,1937,282,0.01339,0.075,0.89888
YFR032C,1943,290,0.00696,0.045,0.9176
YFR034C,1946,313,0.01575,0.085,0.88633
YFR041C,1954,296,0.01873,0.125,0.91996
YFR045W,1958,310,0.01652,0.105,0.90549
YFR047C,1960,296,0.01321,0.085,0.91293
YFR050C,1963,267,0.01606,0.095,0.91702
YFR052W,1966,275,0.01569,0.095,0.91589
YFR055W,1969,341,0.01955,0.115,0.88723
YGL001C,1972,350,0.01736,0.115,0.89886
YGL005C,1976,280,0.01641,0.095,0.90926
YGL011C,1983,253,0.01335,0.095,0.93229
YGL039W,2011,349,0.01185,0.085,0.91296
YGL040C,2012,343,0.0201,0.135,0.91105
